 time            vo              q               p1              p2             
 7.10222190e-07  7.49835646e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 7.20222190e-07  7.49840634e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 7.30222190e-07  7.49843310e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 7.40222190e-07  7.49844739e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 7.50222190e-07  7.49845498e-02  5.91580998e-08  0.00000000e+00  1.20000000e+00 
 7.60222190e-07  7.49845901e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 7.70222190e-07  7.49846113e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 7.80222190e-07  7.49846225e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 7.90222190e-07  7.49846284e-02  5.91581003e-08  0.00000000e+00  1.20000000e+00 
 8.00222190e-07  7.49846315e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 8.10222190e-07  7.49846331e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 8.20222190e-07  7.49846339e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 8.30222190e-07  7.49846343e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 8.40222190e-07  7.49846346e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 8.50222190e-07  7.49846347e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 8.60222190e-07  7.49846347e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 8.70222190e-07  7.49846347e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 8.80222190e-07  7.49846347e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 8.90222190e-07  7.49846348e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 9.00222190e-07  7.49846347e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 9.10222190e-07  7.49846347e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 9.20222190e-07  7.49846347e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 9.30222190e-07  7.49846347e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 9.40222190e-07  7.49846347e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 9.50222190e-07  7.49846347e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
